NO,SEX,AGE,MSTATUS,CHILD,NOCHILD,EDU,OCC,INCOME,NOINCOM,HPROB,WELFARE,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,NEED7,NEED8,NEED9,NEED10,HUSED,HTYPE,HTYPE1,HTYPE2,HTYPE3,HTYPE4,HTYPE5,HTYPE6,HTYPE7,HTYPE8,HTYPE9,HTYPE10,HTYPE11,HFREQUSE,SUM_ATT,SUM_NEED
13,2,53,2,2,1,4,2,2,36000,2,1,4,5,4,3,3,4,3,4,3,4,2,1,3,5,4,3,4,3,2,3,2,3,3,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,5,54,28
14,1,54,2,2,2,3,2,2,21190,1,1,5,4,4,4,4,5,5,5,2,3,1,5,5,4,5,4,4,4,4,4,4,4,4,4,4,2,2,0,1,0,0,0,0,0,0,0,0,0,3,47,40
15,2,59,2,2,2,3,2,2,8000,2,1,5,2,2,3,5,3,1,3,2,4,5,2,2,3,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,1,0,1,1,1,0,4,44,40
16,2,56,3,1,NA,5,2,2,31530,1,1,5,4,2,4,5,4,2,4,5,5,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,2,2,0,1,0,0,0,0,1,1,0,1,0,1,52,40
17,2,62,3,1,NA,2,5,2,9000,2,2,4,2,3,3,4,4,2,4,3,4,2,4,5,4,4,2,4,4,3,3,3,3,3,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,5,44,31
18,2,58,2,2,2,5,2,2,25000,2,1,4,4,2,4,4,1,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,1,0,0,0,0,0,0,0,0,0,3,48,40
19,1,55,2,2,3,3,6,2,7500,2,2,5,4,2,4,5,4,2,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,3,44,40
20,2,54,2,2,3,3,6,2,10000,2,2,4,2,3,3,4,4,2,5,3,2,2,5,5,4,5,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,0,1,0,0,5,43,38
21,1,50,2,2,2,5,2,2,36000,1,1,5,2,2,2,2,4,2,4,4,2,2,5,5,4,4,3,4,4,4,4,4,4,3,3,4,2,2,0,0,0,0,0,0,0,0,1,0,0,3,47,37
22,1,36,2,2,1,3,6,2,9500,1,2,5,5,5,5,5,5,1,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40
23,1,37,2,2,2,3,5,2,12000,1,2,5,4,4,4,5,4,2,4,4,4,1,4,5,3,2,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,40
24,2,38,2,2,3,2,6,2,4000,1,2,5,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
25,2,47,2,2,2,2,5,2,7500,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
26,2,51,2,2,1,2,3,2,6000,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
27,2,47,2,2,2,2,5,2,8000,1,2,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,3,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,38
28,1,53,2,2,3,2,3,2,5000,1,2,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,3,3,3,4,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,35
29,1,47,2,2,3,2,3,2,6500,1,2,5,5,5,4,5,5,2,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,40
30,2,64,2,2,3,2,5,9,NA,2,3,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,40
31,2,57,2,2,4,2,3,1,NA,2,2,5,3,3,4,4,4,2,5,4,4,2,4,5,4,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,40
